2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02201_02250.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02251_02300.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02301_02350.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02351_02400.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02401_02450.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02451_02500.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02501_02550.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02551_02600.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02601_02650.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02651_02700.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02701_02750.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02751_02800.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02801_02850.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02851_02900.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02901_02950.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_02951_03000.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03001_03050.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03051_03100.parquet (50 phrases)
2025-08-15 21:29:09 [INFO] Lot généré : C:\Users\maxam\Desktop\trans_sent\translations\batches\batch_03101_03150.parquet (50 phrases)
